start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
064b:0393,06843,064b:047a,231,1,86,3,1,,0,""
064b:047a,0692a,064b:06b2,568,1,202,16,1,,0,"THE DUEL: TEST DRIVE II TOP SCORES | rear | logS | %ld   | Your Score:  %ld"
064b:06b2,06b62,06ba:0000,62,0,26,2,1,,0,""
06ba:0002,06ba2,06ba:014f,333,0,118,1,1,,0,""
06cf:000c,06cfc,06cf:008d,129,1,43,2,1,,0,"rcfArcfarcfBrcfblcfAlcfalcfBlcfbmtn0mtn1mtn2clo1clo2clo3"
06cf:008d,06d7d,06cf:009e,17,1,5,1,1,,0,""
06cf:009e,06d8e,06cf:00b4,22,1,6,2,2,,0,""
06cf:00b4,06da4,06cf:00f1,61,1,15,4,2,,1,""
06cf:00f1,06de1,06cf:01ef,254,1,100,7,2,,1,""
06cf:01ef,06edf,06cf:0326,311,1,106,0,2,,0,""
06cf:0326,07016,06cf:05e6,704,0,253,1,1,,0,""
06cf:05e6,072d6,06cf:06b1,203,0,71,1,1,,0,""
06cf:06b1,073a1,06cf:0734,131,0,65,0,2,,0,""
06cf:0734,07424,06cf:087c,328,0,113,1,1,,0,""
06cf:087c,0756c,06cf:08b9,61,0,30,0,2,,0,""
06cf:08b9,075a9,06cf:0907,78,0,31,0,1,,0,""
06cf:0907,075f7,06cf:0b07,512,0,199,2,1,,0,""
06cf:0b07,077f7,06cf:0bb4,173,0,55,1,1,,0,""
06cf:0bb4,078a4,06cf:0c1c,104,0,35,1,1,,0,""
06cf:0c1c,0790c,06cf:0c8e,114,0,47,0,2,,0,""
06cf:0c8e,0797e,06cf:0ced,95,0,41,0,2,,0,""
06cf:0ced,079dd,06cf:1a4d,3424,0,1080,6,1,,1,""
06cf:1a4d,0873d,06cf:1aa3,86,0,36,1,1,,0,""
06cf:1aa4,08794,06cf:1b7a,214,1,67,22,1,,1,""
06cf:1c07,088f7,06cf:1da9,418,1,127,6,1,,0,""
06cf:1da9,08a99,06cf:1dd1,40,1,9,2,1,,0,""
06cf:1dd1,08ac1,06cf:1e59,136,1,53,1,1,,0,""
06cf:1e5a,08b4a,06cf:1ed8,126,1,42,2,1,,0,"rcfCrcfcrcfDrcfdlcfClcfclcfDlcfdrmt0rmt1rmt2"
06cf:1ed8,08bc8,06cf:1ee9,17,1,5,1,1,,0,""
06cf:1ee9,08bd9,06cf:1f11,40,1,15,4,2,,1,""
06cf:1f11,08c01,06cf:1fe5,212,1,83,9,2,,1,""
06cf:1fe5,08cd5,06cf:211f,314,1,108,0,2,,0,""
06cf:211f,08e0f,06cf:23d3,692,0,245,1,1,,0,""
06cf:23d3,090c3,06cf:249e,203,0,71,1,1,,0,""
06cf:249e,0918e,06cf:25e6,328,0,113,1,1,,0,""
06cf:25e6,092d6,06cf:2634,78,0,32,0,1,,0,""
06cf:2634,09324,06cf:27b1,381,0,154,2,1,,0,""
06cf:27b1,094a1,06cf:285d,172,0,55,1,1,,0,""
06cf:285d,0954d,06cf:28c5,104,0,34,1,1,,0,""
06cf:28c5,095b5,06cf:3406,2881,0,923,7,1,,1,""
06cf:3406,0a0f6,06cf:345c,86,0,36,1,1,,0,""
06cf:345c,0a14c,06cf:355e,258,1,91,18,0,,0,""
06cf:355e,0a24e,06cf:35fb,157,1,51,9,0,,0,""
06cf:35fb,0a2eb,06cf:362e,51,0,19,2,0,,0,"You missed the gas station | Hope you enjoy the walk. | and you're out of gas."
06cf:362e,0a31e,06cf:363a,12,0,4,1,0,,0,"Too far left to reach pump."
06cf:363a,0a32a,06cf:3646,12,0,4,1,0,,0,"Engine has lost all power..."
06cf:3646,0a336,06cf:3652,12,0,4,1,0,,0,"Suspension completely gone..."
06cf:3652,0a342,06cf:365e,12,0,4,1,0,,0,"Steering completely shot..."
06cf:365e,0a34e,06cf:366a,12,0,4,1,0,,0,"Car took too much damage..."
06cf:366a,0a35a,06cf:367a,16,1,6,1,0,,0,"Fill 'er up..."
06cf:367a,0a36a,06cf:36a3,41,0,14,2,0,,0,"Lives left:      | Careful, it's your last life!"
06cf:36a3,0a393,06cf:36ea,71,0,30,4,8,,0,""
06cf:36ea,0a3da,06cf:37ee,260,1,82,6,1,,0,"dgt0dgt1dgt2dgt3dgt4dgt5dgt6dgt7dgt8dgt9spdotach"
06cf:37ee,0a4de,06cf:380c,30,1,8,1,1,,0,""
06cf:380c,0a4fc,06cf:3839,45,1,16,0,1,,0,""
06cf:3839,0a529,06cf:3979,320,1,119,8,2,,0,""
06cf:3979,0a669,06cf:39ab,50,0,15,1,1,,0,""
06cf:39ab,0a69b,06cf:39d2,39,0,13,1,1,,0,""
06cf:39d2,0a6c2,06cf:3a13,65,0,29,1,1,,0,""
06cf:3a13,0a703,06cf:3aaf,156,0,62,2,1,,0,""
06cf:3aaf,0a79f,06cf:3b54,165,1,49,6,1,,0,""
06cf:3b54,0a844,06cf:3c09,181,1,70,5,1,,0,""
06cf:3c09,0a8f9,06cf:3dbe,437,1,151,10,1,,0,""
06cf:3dbe,0aaae,06cf:3df1,51,0,26,1,1,,0,""
06cf:3df1,0aae1,06cf:3e16,37,0,15,1,1,,0,""
06cf:3e16,0ab06,06cf:3e27,17,1,5,1,4,,0,""
06cf:3e27,0ab17,06cf:3e5a,51,1,19,4,1,,0,""
06cf:3e5a,0ab4a,06cf:3f13,185,1,65,2,1,,0,""
06cf:3f13,0ac03,06cf:3f55,66,1,22,1,1,,0,""
06cf:3f55,0ac45,06cf:4046,241,1,80,11,0,,1,""
06cf:4046,0ad36,06cf:4124,222,0,74,0,1,,0,""
06cf:4124,0ae14,06cf:419b,119,0,37,8,1,,0,""
06cf:419b,0ae8b,06cf:42dd,322,0,111,2,1,,0,""
06cf:42dd,0afcd,06cf:435b,126,0,41,2,1,,0,""
06cf:435b,0b04b,06cf:43a4,73,0,27,0,2,,0,""
06cf:43a4,0b094,06cf:43c0,28,0,12,0,1,,0,""
06cf:43c0,0b0b0,06cf:43d9,25,0,12,0,1,,0,""
06cf:43f2,0b0e2,06cf:4404,18,0,6,0,1,,0,""
